Brand,Title,Price,Size,Reviews,Stars,Category,Colors 
MAKE UP FOR EVER,full cover concealer,$32.00,0.5 oz,3884 reviews,4.372,Makeup>Face Makeup>Concealer>,Beige 8|Chocolate 18|Dark Beige 12|Ebony 20|Fawn 14|Flesh 4|Golden Beige 10|Ivory 6|Light Beige 3|Pink Porcelain 1|Sand 7|Vanilla 5
Giorgio Armani,cheek fabric sheer blush,$48.00,0.14 oz,9 reviews,4.4444,Makeup>Face Makeup>Blush>,200|305|306|502|503|506|507|509
tarte,maracuja lip exfoliant,$16.00,0.7 oz,236 reviews,4.3178,Makeup>Lips>Lip Balm & Treatments>,
NARS,push eyeliner 46,$28.00,,1 review,5.0,Makeup>Eye Makeup>Eye Brushes>,
TokyoMilk Dark,femme fatale collection lip elixirs,$7.00,0.7 oz,742 reviews,4.0741,Makeup>Lips>Lip Balm & Treatments>,Absinthe No. 84 Lip Elixir|Cherry Bourbon No. 77 Lip Elixir|Clove Cigarette No. 18|Coco Noir No. 60 Lip Elixir|La Vie En Rose No. 42 |Salted Caramel No. 36
NARS,angled eyeliner brush 47,$28.00,,7 reviews,3.4286,Makeup>Eye Makeup>Eye Brushes>,
Dior,diorskin forever compact flawless perfection fusion wear makeup spf 25,$52.00,0.35 oz,294 reviews,4.3946,Makeup>Face Makeup>Foundation>,Cameo 022|Dark Beige 050|Honey Beige 040|Ivory 010|Light Beige 020|Light Mocha 060|Linen 021|Medium Beige 030|Peach 023|Rosy Beige 032
Hourglass,ambient lighting edit,$80.00,0.049 oz x 6,181 reviews,3.5193,Makeup>Face Makeup>Luminizer>,
COVER FX,powder brush,$42.00,,18 reviews,4.9444,Makeup>Face Makeup>Face Brushes>,
Anastasia Beverly Hills,pro pencil,$18.00,0.087 oz,102 reviews,4.2843,Makeup>Eye Makeup>Eyebrows>,Base 1|Base 2|Base 3
Josie Maran,coconut watercolor eyeshadow,$18.00,0.16 oz,334 reviews,4.1497,Makeup>Eye Makeup>Eyeshadow>,Beach Sand|Bora Bora Bronze|Maui Teal|Playa Del Pink|Polynesian Purple|Rainforest Green|Rio De Rose Gold
Too Faced,pink leopard blushing bronzer,$30.00,0.26 oz,165 reviews,4.2485,Makeup>Face Makeup>Bronzer>,Pink Leopard
Dior,airflash matte touch,$50.00,1.7 oz,100 reviews,3.85,Makeup>Face Makeup>Face Powder>,
SEPHORA COLLECTION,kissing stories 8 glossy lip pencils,$28.00,,not rated,0.0,Makeup>Lips>Lip Sets>,
Laura Mercier,smooth finish flawless fluide,$48.00,1 oz,518 reviews,3.9923,Makeup>Face Makeup>Foundation>,Amber|Buff|Butterscotch|Cashew|Chai|Chestnut|Cr&#232;me|Dune|Dusk|Ecru|Espresso|Golden|Honey|Ivory|Linen|Macadamia|Maple|Nutmeg|Pecan|Praline|Shell|Suntan|Truffle|Vanille
surratt beauty,smoky eye baton,$35.00,0.0088 oz,13 reviews,4.1538,Makeup>Eye Makeup>Eyeshadow>,Cendres|Fumee Brun|Fumee Noir|Nuit Dorage|Vapeur Mauve
MAKE UP FOR EVER,142 flat highlighter brush,$37.00,,not rated,0.0,Makeup>Face Makeup>Face Brushes>,
Dolce & Gabbana,perfect reveal lifting foundation spf 25,$73.00,1 oz,13 reviews,4.5385,Makeup>Face Makeup>Foundation>,Almond #150|Amber #148|Beige #78|Bisque #75|Bronze #144|Caramel #110|Classic #60|Creamy #80|Golden Honey #170|Natural Beige #120|Natural Glow #100|Rose Beige #140|Soft Sable #180|Soft Tan #160|Warm Rose #130
Clarins,beauty flash balm,$46.00,1.7 oz,216 reviews,4.3102,Skin Care>Moisturizer>,
